ngrams,class
"ExpressionStatement CallExpression Identifier Program
",1
"BlockStatement ExpressionStatement AssignmentExpression Identifier
",1
"IfStatement BlockStatement ExpressionStatement CallExpression
",1
"AssignmentExpression MemberExpression Identifier Program
",1
"MemberExpression MemberExpression Identifier Program
",1
"ExpressionStatement AssignmentExpression MemberExpression Identifier
",1
"CallExpression MemberExpression Identifier Program
",1
"BlockStatement ExpressionStatement AssignmentExpression MemberExpression
",1
"BlockStatement ExpressionStatement CallExpression MemberExpression
",1
"BlockStatement IfStatement BinaryExpression MemberExpression
",1
"IfStatement BlockStatement ExpressionStatement AssignmentExpression
",1
"IfStatement MemberExpression Identifier Program
",1
"ExpressionStatement AssignmentExpression Identifier Program
",1
"BinaryExpression MemberExpression Identifier Program
",1
"Identifier Program FunctionDeclaration BlockStatement
",1
"MemberExpression Identifier Program FunctionDeclaration
",1
"BlockStatement ExpressionStatement CallExpression Identifier
",1
"BlockStatement ExpressionStatement CallExpression Literal
",1
"BlockStatement IfStatement BlockStatement ExpressionStatement
",1
"Literal Program FunctionDeclaration BlockStatement
",1
"ExpressionStatement AssignmentExpression Literal Program
",1
"AssignmentExpression Identifier Program FunctionDeclaration
",1
"IfStatement BinaryExpression MemberExpression Identifier
",1
"IfStatement BinaryExpression Literal Program
",1
"FunctionDeclaration BlockStatement IfStatement BlockStatement
",1
"BlockStatement ExpressionStatement AssignmentExpression Literal
",1
"BlockStatement IfStatement IfStatement BlockStatement
",1
"IfStatement IfStatement BlockStatement ExpressionStatement
",1
"ExpressionStatement CallExpression MemberExpression Identifier
",1
"VariableDeclaration VariableDeclarator Identifier Program
",1
"Program FunctionDeclaration Identifier Program
",1
"Identifier Program FunctionDeclaration Identifier
",1
"FunctionDeclaration Identifier Program FunctionDeclaration
",1
"CallExpression Identifier Program FunctionDeclaration
",1
"AssignmentExpression MemberExpression MemberExpression Identifier
",1
"ExpressionStatement CallExpression Literal Program
",1
"BinaryExpression Literal Program FunctionDeclaration
",1
"BlockStatement IfStatement BinaryExpression Literal
",1
"IfStatement BlockStatement VariableDeclaration VariableDeclarator
",1
"BinaryExpression MemberExpression MemberExpression Identifier
",1
"CallExpression MemberExpression MemberExpression Identifier
",1
"AssignmentExpression CallExpression MemberExpression Identifier
",1
"FunctionDeclaration BlockStatement IfStatement BinaryExpression
",1
"FunctionDeclaration BlockStatement IfStatement MemberExpression
",1
"ExpressionStatement AssignmentExpression MemberExpression MemberExpression
",1
"VariableDeclaration VariableDeclarator CallExpression MemberExpression
",1
"CallExpression Literal Program FunctionDeclaration
",1
"ForStatement BinaryExpression MemberExpression Identifier
",1
"BlockStatement ForStatement BlockStatement ExpressionStatement
",1
"ForStatement BlockStatement ExpressionStatement AssignmentExpression
",1
"BlockStatement ForStatement BlockStatement IfStatement
",1
"ExpressionStatement CallExpression FunctionExpression BlockStatement
",1
"ExpressionStatement AssignmentExpression CallExpression MemberExpression
",1
"BlockStatement FunctionDeclaration BlockStatement IfStatement
",1
"IfStatement BinaryExpression UnaryExpression MemberExpression
",1
"BinaryExpression UnaryExpression MemberExpression Identifier
",1
"BlockStatement FunctionDeclaration BlockStatement ExpressionStatement
",1
"FunctionDeclaration BlockStatement ExpressionStatement CallExpression
",1
"AssignmentExpression Literal Program FunctionDeclaration
",1
"Identifier Program ExpressionStatement AssignmentExpression
",1
"Program ExpressionStatement AssignmentExpression MemberExpression
",1
"WhileStatement BlockStatement ExpressionStatement AssignmentExpression
",1
"FunctionDeclaration BlockStatement ForStatement BlockStatement
",1
"BlockStatement FunctionDeclaration BlockStatement ForStatement
",1
"FunctionDeclaration BlockStatement IfStatement IfStatement
",1
"BlockStatement IfStatement IfStatement MemberExpression
",1
"BlockStatement WhileStatement BlockStatement ExpressionStatement
",1
"BlockStatement VariableDeclaration VariableDeclarator CallExpression
",1
"CallExpression MemberExpression CallExpression MemberExpression
",1
"BinaryExpression BinaryExpression Identifier Program
",1
"CallExpression CallExpression MemberExpression Identifier
",1
"ExpressionStatement AssignmentExpression FunctionExpression BlockStatement
",1
"VariableDeclaration VariableDeclarator MemberExpression Identifier
",1
"BlockStatement VariableDeclaration VariableDeclarator MemberExpression
",1
"BlockStatement VariableDeclaration VariableDeclarator Identifier
",1
"BlockStatement ExpressionStatement AssignmentExpression CallExpression
",1
"ExpressionStatement AssignmentExpression CallExpression Identifier
",1
"VariableDeclarator CallExpression MemberExpression Identifier
",1
"VariableDeclaration VariableDeclarator Literal Program
",1
"Program FunctionDeclaration BlockStatement ExpressionStatement
",1
"ForStatement BinaryExpression Identifier Program
",1
"BlockStatement ForStatement BinaryExpression MemberExpression
",1
"ForStatement UpdateExpression Identifier Program
",1
"MemberExpression MemberExpression MemberExpression Identifier
",1
"BlockStatement ExpressionStatement AssignmentExpression BinaryExpression
",1
"ForStatement BlockStatement IfStatement BlockStatement
",1
"BinaryExpression Identifier Program FunctionDeclaration
",1
"FunctionExpression BlockStatement ExpressionStatement CallExpression
",1
"CallExpression FunctionExpression BlockStatement IfStatement
",1
"BlockStatement IfStatement BlockStatement VariableDeclaration
",1
"FunctionExpression BlockStatement IfStatement BlockStatement
",1
"MemberExpression CallExpression MemberExpression Identifier
",1
"UnaryExpression Literal Program FunctionDeclaration
",1
"BlockStatement IfStatement LogicalExpression BinaryExpression
",1
"VariableDeclarator CallExpression MemberExpression MemberExpression
",1
"VariableDeclarator MemberExpression MemberExpression Identifier
",1
"BlockStatement ExpressionStatement CallExpression CallExpression
",1
"BlockStatement ExpressionStatement CallExpression BinaryExpression
",1
"ExpressionStatement CallExpression BinaryExpression Literal
",1
"BlockStatement IfStatement BlockStatement ForStatement
",1
"BlockStatement ForStatement BinaryExpression Identifier
",1
"IfStatement BlockStatement ForStatement BinaryExpression
",1
"BlockStatement ForStatement UpdateExpression Identifier
",1
"UpdateExpression Identifier Program FunctionDeclaration
",1
"IfStatement BlockStatement ForStatement BlockStatement
",1
"ExpressionStatement AssignmentExpression FunctionExpression Identifier
",1
"UnaryExpression MemberExpression Identifier Program
",1
"IfStatement LogicalExpression BinaryExpression Identifier
",1
"BlockStatement IfStatement BinaryExpression Identifier
",1
"BinaryExpression CallExpression Identifier Program
",1
"BlockStatement IfStatement BlockStatement ReturnStatement
",1
"IfStatement BinaryExpression MemberExpression MemberExpression
",1
"BlockStatement ReturnStatement MemberExpression Identifier
",1
"VariableDeclaration VariableDeclarator MemberExpression MemberExpression
",1
"BlockStatement ReturnStatement Identifier Program
",1
"CallExpression MemberExpression ThisExpression Program
",1
"ExpressionStatement CallExpression MemberExpression MemberExpression
",1
"LogicalExpression BinaryExpression Identifier Program
",1
"BlockStatement VariableDeclaration VariableDeclarator ConditionalExpression
",1
"Program FunctionDeclaration BlockStatement IfStatement
",1
"BlockStatement IfStatement CallExpression MemberExpression
",1
"IfStatement CallExpression MemberExpression Identifier
",1
"IfStatement IfStatement BlockStatement IfStatement
",1
"BlockStatement ForStatement AssignmentExpression Identifier
",1
"BlockStatement ForStatement AssignmentExpression Literal
",1
"VariableDeclarator CallExpression MemberExpression CallExpression
",1
