ngrams,class
Identifier Program ExpressionStatement CallExpression,1
ExpressionStatement CallExpression MemberExpression FunctionExpression,1
ObjectExpression Property FunctionExpression BlockStatement,1
Program ExpressionStatement CallExpression MemberExpression,1
ExpressionStatement AssignmentExpression FunctionExpression BlockStatement,1
"VariableDeclaration VariableDeclarator CallExpression ObjectExpression
",1
"CallExpression ObjectExpression Program FunctionDeclaration
",1
"BinaryExpression BinaryExpression MemberExpression CallExpression
",1
"VariableDeclarator BinaryExpression BinaryExpression MemberExpression
",1
"VariableDeclarator BinaryExpression UnaryExpression Literal
",1
"BinaryExpression BinaryExpression BinaryExpression MemberExpression
",1
"ExpressionStatement CallExpression CallExpression BinaryExpression
",1
"CallExpression CallExpression BinaryExpression BinaryExpression
",1
"IfStatement ExpressionStatement CallExpression CallExpression
",1
"BinaryExpression BinaryExpression CallExpression CallExpression
",1
"CallExpression CallExpression BinaryExpression MemberExpression
",1
"FunctionExpression Identifier Program FunctionDeclaration
",1
"VariableDeclarator LogicalExpression UnaryExpression MemberExpression
",1
"VariableDeclaration VariableDeclarator LogicalExpression UnaryExpression
",1
"IfStatement BlockStatement SwitchStatement MemberExpression
",1
"SwitchStatement MemberExpression Identifier Program
",1
"SwitchStatement SwitchCase IfStatement LogicalExpression
",1
"SwitchCase IfStatement LogicalExpression BinaryExpression
",1
"SwitchStatement SwitchCase IfStatement ExpressionStatement
",1
"SwitchCase IfStatement ExpressionStatement CallExpression
",1
"SwitchStatement SwitchCase ReturnStatement Program
",1
"AssignmentExpression MemberExpression MemberExpression Literal
",1
"BinaryExpression MemberExpression MemberExpression Literal
",1
"IfStatement BinaryExpression UnaryExpression Literal
",1
"LogicalExpression BinaryExpression CallExpression MemberExpression
",1
"ReturnStatement CallExpression NewExpression Identifier
",1
"BlockStatement ReturnStatement CallExpression NewExpression
",1
"CallExpression NewExpression BinaryExpression BinaryExpression
",1
"ReturnStatement CallExpression NewExpression BinaryExpression
",1
"CallExpression NewExpression BinaryExpression Literal
",1
"IfStatement BlockStatement ReturnStatement AssignmentExpression
",1
