ngrams,class
  Literal Program ExpressionStatement CallExpression ObjectExpression Property,1
"  BlockStatement ExpressionStatement AssignmentExpression Identifier Program TryStatement
",1
"  AssignmentExpression Identifier Program TryStatement BlockStatement ExpressionStatement
",1
"  Program TryStatement BlockStatement ExpressionStatement AssignmentExpression CallExpression
",1
"  BlockStatement ExpressionStatement AssignmentExpression CallExpression MemberExpression Identifier
",1
"  AssignmentExpression CallExpression MemberExpression Identifier Program TryStatement
",1
"  MemberExpression Identifier Program TryStatement BlockStatement ExpressionStatement
",1
"  MemberExpression Identifier Program TryStatement CatchClause Identifier
",1
"  Program TryStatement CatchClause Identifier Program VariableDeclaration
",1
"  CatchClause Identifier Program VariableDeclaration VariableDeclarator Identifier
",1
"  Program VariableDeclaration VariableDeclarator Literal Program IfStatement
",1
"  VariableDeclarator Literal Program IfStatement Identifier Program
",1
"  Program IfStatement Identifier Program IfStatement BlockStatement
",1
"  VariableDeclaration VariableDeclarator Identifier Program IfStatement BlockStatement
",1
"  CallExpression Literal Program IfStatement BlockStatement ExpressionStatement
",1
"  Program IfStatement BlockStatement ExpressionStatement AssignmentExpression Identifier
",1
"  BlockStatement ExpressionStatement AssignmentExpression Identifier Program IfStatement
",1
"  AssignmentExpression Identifier Program IfStatement BlockStatement ExpressionStatement
",1
"  Program IfStatement BlockStatement ExpressionStatement AssignmentExpression CallExpression
",1
"  AssignmentExpression CallExpression MemberExpression Identifier Program IfStatement
",1
"  MemberExpression Identifier Program IfStatement BlockStatement ExpressionStatement
",1
"  BlockStatement ExpressionStatement AssignmentExpression CallExpression Literal Program
",1
"  AssignmentExpression CallExpression Literal Program IfStatement BlockStatement
",1
"  IfStatement BlockStatement ExpressionStatement AssignmentExpression CallExpression Identifier
",1
"  ExpressionStatement AssignmentExpression CallExpression Identifier Program IfStatement
",1
"  CallExpression Identifier Program IfStatement BlockStatement ExpressionStatement
",1
"  Program IfStatement BlockStatement ExpressionStatement AssignmentExpression BinaryExpression
",1
"  BlockStatement ExpressionStatement AssignmentExpression BinaryExpression Identifier Program
",1
"  AssignmentExpression BinaryExpression Identifier Program IfStatement BlockStatement
",1
"  IfStatement BlockStatement ExpressionStatement AssignmentExpression BinaryExpression Literal
",1
"  ExpressionStatement AssignmentExpression BinaryExpression Literal Program ExpressionStatement
",1
"  BinaryExpression Literal Program ExpressionStatement CallExpression MemberExpression
",1
"  MemberExpression Identifier Program ExpressionStatement CallExpression CallExpression
",1
"  Program ExpressionStatement CallExpression CallExpression Identifier Program
",1
"  CallExpression CallExpression Identifier Program ExpressionStatement CallExpression
",1
"  Identifier Program ExpressionStatement CallExpression CallExpression BinaryExpression
",1
"  ExpressionStatement CallExpression CallExpression BinaryExpression BinaryExpression Literal
",1
"  CallExpression BinaryExpression BinaryExpression Literal Program ExpressionStatement
",1
"  BinaryExpression Literal Program ExpressionStatement CallExpression CallExpression
",1
"  Program ExpressionStatement CallExpression CallExpression BinaryExpression BinaryExpression
",1
"  CallExpression CallExpression BinaryExpression BinaryExpression Identifier Program
",1
"  BinaryExpression BinaryExpression Identifier Program ExpressionStatement CallExpression
",1
"  ExpressionStatement CallExpression CallExpression BinaryExpression Literal Program
",1
"  CallExpression BinaryExpression Literal Program VariableDeclaration VariableDeclarator
",1
"  FunctionDeclaration BlockStatement ExpressionStatement CallExpression ObjectExpression Property
",1
"  FunctionDeclaration BlockStatement ExpressionStatement CallExpression FunctionExpression BlockStatement
",1
"  Program FunctionDeclaration BlockStatement ExpressionStatement CallExpression FunctionExpression
",1
"  Program FunctionDeclaration BlockStatement IfStatement UnaryExpression Identifier
",1
"  BlockStatement IfStatement UnaryExpression Identifier Program FunctionDeclaration
",1
"  UnaryExpression Identifier Program FunctionDeclaration BlockStatement IfStatement
",1
"  Program FunctionDeclaration BlockStatement IfStatement ReturnStatement Program
",1
"  BlockStatement IfStatement ReturnStatement Program FunctionDeclaration BlockStatement
",1
"  ReturnStatement Program FunctionDeclaration BlockStatement ExpressionStatement CallExpression
",1
"  VariableDeclarator Literal Program TryStatement BlockStatement ExpressionStatement
",1
"  Program TryStatement BlockStatement ExpressionStatement AssignmentExpression Identifier
",1
"  SwitchCase BreakStatement Program ExpressionStatement CallExpression Literal
",1
"  Program ExpressionStatement CallExpression Literal Program FunctionDeclaration
",1
"  FunctionDeclaration BlockStatement ExpressionStatement CallExpression BinaryExpression Literal
",1
"  ExpressionStatement CallExpression BinaryExpression Literal Program FunctionDeclaration
",1
"  BinaryExpression Literal Program FunctionDeclaration BlockStatement ExpressionStatement
",1
"  CallExpression BinaryExpression Identifier Program FunctionDeclaration Identifier
",1
"  Program FunctionDeclaration Identifier Program ExpressionStatement AssignmentExpression
",1
"  VariableDeclaration VariableDeclarator CallExpression Literal Program VariableDeclaration
",1
"  CallExpression Literal Program VariableDeclaration VariableDeclarator Identifier
",1
"  CallExpression ObjectExpression Property Literal Program ExpressionStatement
",1
"  Property Literal Program ExpressionStatement CallExpression ObjectExpression
",1
"  Program ExpressionStatement CallExpression ObjectExpression Property ObjectExpression
",1
"  CallExpression ObjectExpression Property ObjectExpression Property Identifier
",1
